1536_row,1536_column,384_plate,384_row,384_column
16,48,4,8,24
17,1,1,9,1
17,2,1,9,3
17,3,1,9,5
17,4,1,9,7
17,5,1,9,9
17,6,1,9,11
17,7,1,9,13
17,8,1,9,15
17,9,1,9,17
17,10,1,9,19
17,11,1,9,21
17,12,1,9,23
17,13,2,9,1
17,14,2,9,3
17,15,2,9,5
17,16,2,9,7
17,17,2,9,9
17,18,2,9,11
17,19,2,9,13
17,20,2,9,15
17,21,2,9,17
17,22,2,9,19
17,23,2,9,21
17,24,2,9,23
17,25,3,9,1
17,26,3,9,3
17,27,3,9,5
17,28,3,9,7
17,29,3,9,9
17,30,3,9,11
17,31,3,9,13
17,32,3,9,15
17,33,3,9,17
17,34,3,9,19
17,35,3,9,21
17,36,3,9,23
17,37,4,9,1
17,38,4,9,3
17,39,4,9,5
17,40,4,9,7
17,41,4,9,9
17,42,4,9,11
17,43,4,9,13
17,44,4,9,15
17,45,4,9,17
17,46,4,9,19
17,47,4,9,21
17,48,4,9,23
18,1,1,10,1
18,2,1,10,3
18,3,1,10,5
18,4,1,10,7
18,5,1,10,9
18,6,1,10,11
18,7,1,10,13
18,8,1,10,15
18,9,1,10,17
18,10,1,10,19
18,11,1,10,21
18,12,1,10,23
18,13,2,10,1
18,14,2,10,3
18,15,2,10,5
18,16,2,10,7
18,17,2,10,9
18,18,2,10,11
18,19,2,10,13
18,20,2,10,15
18,21,2,10,17
18,22,2,10,19
18,23,2,10,21
18,24,2,10,23
18,25,3,10,1
18,26,3,10,3
18,27,3,10,5
18,28,3,10,7
18,29,3,10,9
18,30,3,10,11
18,31,3,10,13
18,32,3,10,15
18,33,3,10,17
18,34,3,10,19
18,35,3,10,21
18,36,3,10,23
18,37,4,10,1
18,38,4,10,3
18,39,4,10,5
18,40,4,10,7
18,41,4,10,9
18,42,4,10,11
18,43,4,10,13
18,44,4,10,15
18,45,4,10,17
18,46,4,10,19
18,47,4,10,21
18,48,4,10,23
19,1,1,9,2
19,2,1,9,4
